Gene,Probe,Pearson,MaxDiff,Tau,Euclid,AvgVar
INTU,CUST_6672_PI416261804,0.7166,0.735,0.4909,5.1419,0.492
RPS12,CUST_537_PI417507815,0.7165,0.7066,0.4597,4.5424,0.458
PLBD2,A_23_P10911,0.7165,0.7562,0.5352,6.6238,0.537
NPHS1,A_23_P5200,0.7165,0.7157,0.4922,7.7973,0.497
SCARNA17,A_32_P37592,0.7165,0.7284,0.5169,12.7039,0.519
ADRA1A,CUST_63_PI416408490,0.7164,0.6509,0.444,7.5324,0.442
DYM,A_23_P170518,0.7164,0.7356,0.5321,3.5555,0.533
OPLAH,A_23_P170186,0.7163,0.729,0.5052,5.3782,0.506
LZTS2,A_23_P149847,0.7163,0.732,0.5047,5.4841,0.502
TRPM3,A_23_P114061,0.7163,0.7193,0.507,8.0179,0.511
TMEM106C,A_23_P48175,0.7163,0.7199,0.4987,4.3824,0.5
GPC3,A_24_P57631,0.7163,0.5221,0.3749,8.6231,0.372
STAMBPL1,A_23_P385322,0.7162,0.7126,0.4804,5.9669,0.492
CBLB,A_23_P212715,0.7162,0.7223,0.4977,7.2391,0.502
ANKRD13A,A_24_P98975,0.716,0.7568,0.5112,6.6881,0.51
RYR3,A_23_P94838,0.716,0.7568,0.5365,6.5873,0.538
RCAN1,CUST_14474_PI416261804,0.7159,0.7441,0.5058,4.1305,0.514
MRPL48,A_23_P162106,0.7159,0.7623,0.5196,4.4443,0.519
C2CD2,A_24_P940149,0.7158,0.7356,0.4703,7.6883,0.471
COLEC12,CUST_14278_PI416261804,0.7158,0.7211,0.5066,5.4478,0.51
DNAH9,A_23_P164068,0.7158,0.6691,0.4515,10.1062,0.459
CA4,A_23_P4096,0.7157,0.7447,0.513,7.6615,0.519
LOC728715,CUST_3704_PI416261804,0.7157,0.7145,0.4497,6.9039,0.45
PTPRJ,A_24_P921321,0.7156,0.7338,0.4842,5.4247,0.482
ABI2,A_23_P79692,0.7155,0.7387,0.4988,3.6976,0.503
LOC100133863,CUST_7368_PI416261804,0.7155,0.4174,0.1686,7.5589,0.168
DSP,A_32_P157945,0.7155,0.7368,0.4933,9.8484,0.494
C1orf54,A_23_P74778,0.7154,0.7405,0.4972,5.7714,0.5
MAP2K1,A_23_P20248,0.7154,0.752,0.5234,10.3994,0.53
TSTD1,CUST_11967_PI416261804,0.7154,0.7502,0.5475,9.5101,0.554
YWHAZ,A_24_P492562,0.7153,0.7326,0.4901,5.2572,0.49
PARP9,CUST_1245_PI416379584,0.7153,0.7368,0.4984,8.0612,0.502
BNIP2,CUST_1298_PI416573500,0.7151,0.7278,0.5031,4.9312,0.511
C19orf28,A_23_P218523,0.7151,0.7199,0.5346,6.3484,0.534
IGFBP7,A_23_P353035,0.7151,0.7078,0.4953,6.2609,0.492
RPL37A,A_32_P783,0.715,0.7314,0.4802,5.5815,0.48
HMBS,A_23_P98431,0.715,0.7858,0.5411,4.3097,0.544
DRP2,A_23_P62196,0.715,0.712,0.4646,7.0123,0.472
ABCA1,A_24_P235429,0.715,0.7175,0.5089,7.5332,0.511
SNX30,CUST_530_PI416379584,0.7147,0.6763,0.468,4.0588,0.466
LONRF2,A_32_P190303,0.7147,0.6878,0.4826,5.1041,0.482
PIGT,A_24_P40165,0.7146,0.7532,0.493,4.2271,0.492
IGF2BP3,A_23_P19987,0.7146,0.7078,0.5094,6.3813,0.507
MXI1,CUST_12074_PI416261804,0.7145,0.7253,0.4626,4.2158,0.458
LOC388248,CUST_4013_PI416261804,0.7145,0.7429,0.5232,7.5682,0.522
COL8A2,A_24_P365975,0.7145,0.735,0.4982,9.5653,0.504
RPS29,A_24_P548354,0.7144,0.6776,0.4383,5.4927,0.436
ARHGAP9,CUST_748_PI416261804,0.7144,0.7471,0.5051,10.1797,0.509
RPS6KA2,A_23_P335920,0.7144,0.7102,0.5046,5.3521,0.506
NAP1L3,A_23_P125717,0.7144,0.6697,0.467,5.4901,0.468
GLRB,CUST_10014_PI416261804,0.7143,0.6437,0.4279,4.6948,0.432
ETV6,A_23_P105264,0.7143,0.7598,0.5046,6.4707,0.503
FUNDC1,A_23_P375549,0.7143,0.7429,0.5306,5.1638,0.535
ENAH,A_23_P51397,0.7142,0.7429,0.5043,4.504,0.508
TNFRSF14,A_23_P126908,0.7142,0.7066,0.4921,6.2089,0.497
AFAP1,A_23_P72387,0.7141,0.7532,0.5327,7.0314,0.535
TMEM14C,A_23_P111288,0.7141,0.7084,0.4715,5.4098,0.47
RASGEF1C,A_24_P383762,0.7141,0.7139,0.4763,8.6271,0.478
NBL1,A_23_P51958,0.714,0.7701,0.5124,5.1585,0.517
NR3C1,CUST_481_PI416408490,0.7139,0.7356,0.4995,3.9259,0.5
PTX3,A_23_P121064,0.7139,0.7489,0.5174,9.4386,0.518
C16orf75,A_23_P353717,0.7139,0.7586,0.5359,9.3431,0.541
PLEKHA7,A_24_P348806,0.7138,0.7852,0.5246,7.3479,0.528
DKK3,A_24_P261417,0.7138,0.732,0.4825,6.6132,0.484
APBB1IP,A_23_P12549,0.7137,0.7411,0.4829,8.0981,0.488
OR7E13P,A_23_P350754,0.7136,0.7447,0.4924,6.5069,0.494
FAM108C1,A_32_P39093,0.7136,0.7272,0.4883,5.2925,0.486
RCC2,CUST_4447_PI416261804,0.7135,0.7471,0.5243,5.425,0.532
IFNGR1,A_23_P8281,0.7135,0.732,0.5192,5.5493,0.518
ZMYM3,A_24_P16815,0.7134,0.7387,0.5137,4.4673,0.515
YWHAB,A_23_P120414,0.7134,0.6794,0.4617,3.6519,0.46
CADM3,A_23_P201156,0.7134,0.6177,0.3978,4.7403,0.395
GABBR1,CUST_269_PI416408490,0.7133,0.7453,0.5267,5.5759,0.527
LRRC46,A_23_P152949,0.7133,0.6751,0.4203,5.7527,0.43
IGFBP5,A_23_P154115,0.7132,0.7393,0.5211,7.1403,0.521
ACTN4,A_23_P101655,0.7132,0.7508,0.5245,5.2226,0.525
GPA33,A_24_P319374,0.7131,0.7381,0.4868,8.4465,0.491
CYP26B1,A_23_P210109,0.7131,0.6939,0.3903,8.5574,0.395
NPY2R,CUST_478_PI416408490,0.7131,0.631,0.391,10.2482,0.395
FREM1,A_23_P43337,0.7131,0.6249,0.4115,6.6373,0.41
CNTLN,CUST_4662_PI416261804,0.713,0.726,0.4822,4.628,0.491
TARBP1,A_23_P52058,0.713,0.7514,0.5438,4.9827,0.546
TRHDE,CUST_9361_PI416261804,0.7129,0.7405,0.4737,11.0054,0.482
ZNF219,A_23_P431360,0.7129,0.7453,0.4899,5.2813,0.494
SHC2,A_32_P205624,0.7129,0.5699,0.3745,5.1803,0.371
PTPRF,A_24_P385313,0.7129,0.6479,0.4482,4.5176,0.447
PARP1,A_23_P114783,0.7128,0.7465,0.5238,3.6486,0.525
AGTPBP1,A_23_P169278,0.7128,0.7024,0.4989,5.3811,0.498
GLS,CUST_14980_PI416261804,0.7128,0.6655,0.4732,6.0985,0.475
EFCAB2,CUST_9748_PI416261804,0.7128,0.7151,0.4908,4.8484,0.495
DBP,A_23_P130753,0.7127,0.7586,0.5171,5.2909,0.52
MUCL1,A_23_P150979,0.7127,0.5596,0.2814,6.175,0.298
CRIM1,A_23_P51105,0.7127,0.7459,0.5221,5.6877,0.521
FAM86B2,A_24_P280868,0.7127,0.712,0.4771,4.8429,0.48
DCBLD1,A_23_P409462,0.7126,0.7483,0.5397,8.0955,0.546
SOX10,A_23_P143694,0.7126,0.7368,0.5066,10.9806,0.505
NEB,CUST_13093_PI416261804,0.7126,0.6624,0.4677,9.4269,0.466
TTC1,A_23_P19164,0.7126,0.7096,0.4995,4.092,0.504
TSPAN15,A_32_P7015,0.7124,0.7719,0.5204,13.0442,0.519
EPHB2,CUST_14148_PI416261804,0.7124,0.7405,0.4702,5.4184,0.466
LOC92973,A_32_P47157,0.7124,0.7187,0.5103,4.5363,0.514
IL1RAPL2,A_23_P255038,0.7123,0.7338,0.5178,9.0829,0.52
ALG3,A_24_P414269,0.7123,0.761,0.5283,4.1503,0.533
HTR1A,CUST_574_PI417557136,0.7123,0.6733,0.4243,8.0565,0.423
GLUD1,A_23_P138665,0.7123,0.663,0.4315,7.0659,0.444
CASQ2,CUST_12443_PI416261804,0.7122,0.6818,0.4033,8.8089,0.406
KLRC4,A_23_P218058,0.7122,0.7011,0.4504,8.4521,0.455
BCAT2,A_23_P101551,0.7122,0.7284,0.4908,5.033,0.489
MPDU1,A_24_P198844,0.7122,0.7229,0.5257,2.9753,0.527
NKAIN4,CUST_14170_PI416261804,0.7121,0.712,0.5317,9.8026,0.534
SLC16A7,A_32_P130630,0.712,0.7556,0.549,6.604,0.552
BAZ2B,CUST_6319_PI416261804,0.7119,0.709,0.4664,5.4102,0.466
LOC221442,A_24_P303420,0.7119,0.7223,0.491,7.3311,0.491
SQLE,A_23_P146284,0.7119,0.7296,0.5145,4.4388,0.515
XKR7,CUST_268_PI416379584,0.7118,0.5596,0.2448,6.3919,0.255
PICALM,A_23_P203658,0.7118,0.7314,0.5218,4.3343,0.523
MSH6,A_23_P102202,0.7117,0.7477,0.496,4.3605,0.494
FHDC1,A_23_P328259,0.7117,0.7405,0.4952,6.9759,0.495
UBA3,CUST_6857_PI416261804,0.7117,0.732,0.5283,3.9864,0.533
TFPI,CUST_15927_PI416261804,0.7117,0.7036,0.4854,6.3663,0.485
CELSR1,A_23_P132378,0.7117,0.6709,0.4501,8.8182,0.449
GPR155,A_32_P132317,0.7117,0.6866,0.4874,4.681,0.494
TMEM47,CUST_6308_PI416261804,0.7116,0.6878,0.4931,7.6997,0.497
C14orf177,CUST_167_PI416261804,0.7113,0.7048,0.4365,8.1291,0.445
LOC100133050,CUST_405_PI417507815,0.7113,0.6963,0.4462,5.6907,0.446
STARD3NL,A_23_P70938,0.7113,0.7096,0.5036,3.9052,0.512
VOPP1,A_23_P168211,0.7112,0.7616,0.5288,4.7916,0.527
MYLK2,A_23_P80008,0.7112,0.729,0.5353,5.3179,0.534
CTDSP1,A_23_P28263,0.7112,0.7108,0.481,5.4467,0.481
IFT57,A_23_P121386,0.7111,0.7659,0.4888,6.3296,0.496
CD59,A_23_P75523,0.7111,0.6975,0.4926,4.4757,0.495
LOC100129794,CUST_3827_PI416261804,0.711,0.7247,0.5154,5.8266,0.518
TMEM204,CUST_567_PI416379584,0.711,0.7471,0.543,7.9802,0.543
S100Z,A_24_P12136,0.7109,0.7399,0.5006,8.1841,0.5
TASP1,A_23_P120557,0.7109,0.7532,0.5329,5.0641,0.539
SORBS3,A_23_P300714,0.7109,0.7205,0.4819,5.4956,0.483
PTPRS,A_24_P290856,0.7108,0.6897,0.4768,4.8994,0.474
SMARCA5,CUST_6479_PI416261804,0.7108,0.7387,0.4974,3.6766,0.506
FBXO27,A_24_P113264,0.7108,0.6878,0.4887,4.3526,0.485
ZNF165,A_23_P93269,0.7108,0.6872,0.4882,5.2653,0.489
ABCD2,CUST_16263_PI416261804,0.7107,0.6352,0.393,5.3398,0.392
CRIP2,CUST_942_PI416261804,0.7107,0.7368,0.5185,6.9439,0.526
TGFBI,A_23_P156327,0.7107,0.7126,0.5028,9.9721,0.502
PCNXL2,A_23_P200260,0.7107,0.6751,0.513,5.6672,0.511
GSTM3,A_24_P914434,0.7106,0.7302,0.5429,7.6722,0.542
EEF1AL7,CUST_3690_PI416261804,0.7105,0.6897,0.4718,3.9292,0.472
SLC22A18AS,A_24_P372643,0.7105,0.7132,0.4968,13.9094,0.499
