Gene,Probe,Pearson,MaxDiff,Tau,Euclid,AvgVar
DZIP1L,A_23_P384635,0.5558,0.5039,0.2152,7.4231,0.213
RPS27L,A_23_P14734,0.5557,0.6328,0.3986,5.1574,0.399
FAM40A,A_23_P320457,0.5556,0.6558,0.3867,7.0348,0.392
CD99L2,A_23_P253052,0.5556,0.631,0.3914,4.9267,0.39
TPTE,A_23_P345746,0.5556,0.5705,0.3528,6.6015,0.353
SPG11,A_23_P65699,0.5554,0.6618,0.3629,4.9037,0.362
CHCHD7,CUST_13381_PI416261804,0.5554,0.6497,0.3841,4.8976,0.385
UQCRQ,A_23_P213718,0.5554,0.6286,0.3921,4.9712,0.391
MS4A6A,A_23_P36120,0.5554,0.5935,0.3732,12.7094,0.378
TIMM50,A_23_P415882,0.5553,0.6098,0.354,3.7891,0.353
SP140L,A_24_P337012,0.5552,0.6679,0.3725,7.6283,0.377
hCG_19809,A_24_P109821,0.5552,0.6116,0.3363,4.043,0.336
LEMD3,A_23_P151018,0.5552,0.5783,0.358,3.8603,0.355
RPS4Y1,CUST_5560_PI416261804,0.5551,0.6582,0.388,6.511,0.388
OR1D4,CUST_1102_PI416261804,0.5551,0.6751,0.4019,8.4566,0.401
CDC10L,CUST_11865_PI416261804,0.5551,0.6437,0.3874,3.9204,0.386
NRSN2,A_23_P143274,0.555,0.6407,0.3797,6.0194,0.384
CA5A,A_23_P95683,0.555,0.6455,0.3963,8.8831,0.395
SCG5,A_23_P62081,0.555,0.5917,0.3512,5.9811,0.358
MKRN2,A_23_P57807,0.5549,0.7036,0.4093,4.4678,0.41
COL4A1,A_23_P65240,0.5549,0.6673,0.3924,7.0569,0.393
JMJD7,A_23_P218203,0.5549,0.6165,0.3611,5.2578,0.361
RBM28,CUST_6143_PI416261804,0.5549,0.608,0.3575,3.8153,0.355
ZNF629,A_23_P163816,0.5549,0.611,0.4146,5.2064,0.412
SMAD2,A_23_P15937,0.5548,0.6521,0.3708,3.2534,0.37
RYK,A_24_P229377,0.5548,0.66,0.4236,5.9413,0.424
RPS17,A_23_P117721,0.5548,0.6171,0.3512,5.3783,0.35
LOC644422,A_24_P418386,0.5547,0.6394,0.3833,6.0861,0.394
RFXAP,CUST_10905_PI416261804,0.5547,0.5209,0.3003,4.6607,0.299
AGPAT3,A_23_P218743,0.5547,0.6552,0.3912,6.6405,0.396
CSAG1,A_24_P11061,0.5546,0.6521,0.4118,6.3067,0.413
C10orf104,A_32_P32207,0.5546,0.6352,0.3731,5.0552,0.371
RPS9,A_32_P22078,0.5545,0.657,0.3766,7.1717,0.378
NHEDC2,A_23_P341567,0.5545,0.6279,0.3425,3.8509,0.34
RAPGEF6,A_23_P144999,0.5545,0.6177,0.3438,6.6078,0.342
HIST2H2AA4,A_23_P103981,0.5544,0.6588,0.3513,9.5066,0.353
ABCG1,CUST_15564_PI416261804,0.5543,0.6528,0.3717,6.277,0.373
TTYH1,A_23_P50817,0.5543,0.5783,0.3329,7.9851,0.331
ZNF143,A_24_P206736,0.5542,0.614,0.3399,3.6449,0.338
AKTIP,A_23_P163622,0.5541,0.6667,0.3744,4.9746,0.374
CDK5RAP3,A_23_P66900,0.5541,0.608,0.3424,5.1009,0.34
UBE2Q1,A_23_P97423,0.5541,0.6165,0.371,5.0514,0.373
TOM1L2,A_23_P141180,0.5541,0.6322,0.379,4.589,0.379
FBXW9,A_23_P16214,0.5541,0.64,0.3876,7.5515,0.394
ATP1B2,A_24_P31275,0.5541,0.6431,0.4054,9.1464,0.412
ALDH1L2,CUST_814_PI416573500,0.554,0.5747,0.3042,7.4687,0.301
ST3GAL3,A_23_P200999,0.554,0.6286,0.3664,4.5061,0.371
LOC100293043,CUST_10268_PI416261804,0.554,0.6407,0.4099,5.6121,0.415
LOC100293318,CUST_2528_PI416261804,0.554,0.5959,0.3683,9.3938,0.369
C17orf61,A_23_P3994,0.5539,0.6286,0.3454,5.1294,0.343
MTF2,A_23_P46333,0.5539,0.6304,0.3823,4.5567,0.381
TCTN2,CUST_9539_PI416261804,0.5539,0.5681,0.3196,5.0392,0.318
ACR,A_32_P191262,0.5539,0.6116,0.3503,5.2832,0.349
PIK3CB,CUST_16606_PI416261804,0.5538,0.6352,0.3407,5.4227,0.349
RRAGB,CUST_10177_PI416261804,0.5538,0.6891,0.4018,5.0974,0.408
COMMD3,A_23_P138514,0.5538,0.6201,0.3608,5.1129,0.359
SH3YL1,A_23_P68198,0.5538,0.6473,0.408,4.1839,0.41
LOC100131972,CUST_655_PI417507815,0.5537,0.6576,0.4081,7.5896,0.413
CDC42BPA,A_24_P944299,0.5537,0.6612,0.4041,5.37,0.405
NCOA3,A_23_P313568,0.5536,0.6727,0.4071,7.7436,0.408
SYNGR2,A_24_P347854,0.5536,0.6763,0.3845,12.2664,0.383
MTOR,A_23_P34606,0.5536,0.6521,0.3858,3.7464,0.389
LRRC4B,A_23_P419503,0.5536,0.6074,0.3134,7.924,0.325
HELB,A_23_P2293,0.5536,0.6582,0.4208,14.253,0.418
BAP1,A_23_P259012,0.5536,0.6322,0.4086,9.1919,0.419
MORN5,A_24_P401491,0.5536,0.4876,0.2745,8.3424,0.273
NAF1,A_24_P223163,0.5535,0.6624,0.3728,5.1785,0.375
DVL2,CUST_1042_PI416379584,0.5535,0.6098,0.345,5.5237,0.342
C6orf136,A_23_P300826,0.5535,0.6685,0.4168,5.5869,0.417
DNMT3B,CUST_14473_PI416261804,0.5534,0.415,0.1296,5.1106,0.132
EIF4H,A_32_P168886,0.5534,0.5723,0.3837,3.8919,0.384
LOC100132247,A_32_P174151,0.5533,0.5051,0.2688,5.2065,0.267
OLFML2B,A_23_P137689,0.5532,0.5185,0.2314,8.2688,0.232
RELB,A_23_P55706,0.5532,0.6304,0.3755,4.6809,0.376
PDS5A,A_23_P144294,0.5532,0.6467,0.3628,3.848,0.361
SSR4,A_23_P259172,0.5532,0.6062,0.3465,5.4632,0.345
LOC100128737,A_32_P100430,0.5531,0.6739,0.3994,8.9428,0.402
ELP3,A_23_P43034,0.5531,0.5995,0.3861,3.2471,0.386
MFSD1,A_23_P166677,0.553,0.6286,0.3626,4.9557,0.361
APOM,A_23_P42265,0.553,0.5808,0.328,5.564,0.328
MYCBP2,A_23_P151459,0.553,0.6038,0.3658,3.9124,0.368
CBWD6,CUST_3493_PI416261804,0.553,0.6092,0.3428,4.5629,0.343
SGMS2,A_23_P326204,0.553,0.5995,0.3344,8.7723,0.335
C19orf42,A_23_P153360,0.5528,0.6376,0.3624,4.441,0.36
TCL1B,A_23_P48495,0.5528,0.6267,0.349,10.582,0.347
KIAA0922,A_23_P257250,0.5528,0.5426,0.3132,8.7713,0.317
PALLD,A_23_P213102,0.5528,0.6479,0.3831,6.0925,0.393
SPAG6,A_24_P21507,0.5528,0.4459,0.2158,8.2382,0.224
C1orf56,A_24_P234116,0.5527,0.6745,0.3803,5.5873,0.379
POLR3GL,A_23_P23855,0.5527,0.6364,0.377,4.4538,0.381
SOCS6,A_24_P91272,0.5527,0.6624,0.3826,5.5186,0.384
SLC6A8,A_24_P23400,0.5527,0.6001,0.377,4.9605,0.375
INVS,CUST_676_PI416573500,0.5526,0.6255,0.3631,4.8513,0.361
LOC441481,CUST_4412_PI416261804,0.5526,0.6382,0.3819,5.8592,0.384
ZNF692,A_23_P170978,0.5526,0.5808,0.373,5.3238,0.371
SFRS4,A_23_P126197,0.5525,0.6346,0.3634,4.2722,0.366
LOC100287852,CUST_7213_PI416261804,0.5525,0.6237,0.3781,5.1872,0.381
HMOX2,A_23_P100501,0.5525,0.5808,0.3869,5.9857,0.387
ACN9,CUST_6128_PI416261804,0.5524,0.6013,0.3171,4.763,0.323
TDG,A_23_P204579,0.5524,0.6013,0.3864,3.648,0.386
HSPE1,CUST_12468_PI416261804,0.5522,0.6733,0.3823,5.6721,0.381
TFPT,A_23_P27573,0.5522,0.6189,0.3841,4.5353,0.387
CIDECP,A_24_P484797,0.5522,0.5765,0.4163,6.7255,0.424
BRPF3,A_24_P414712,0.5521,0.6419,0.3807,7.4282,0.391
RNF44,A_23_P213592,0.5521,0.6388,0.4031,4.3042,0.407
SARM1,A_24_P267293,0.5521,0.5814,0.347,6.9791,0.346
OPA1,A_23_P211797,0.5521,0.5475,0.3522,4.4312,0.352
MAPKSP1,A_32_P10311,0.552,0.6213,0.3467,4.44,0.345
RBM34,A_23_P436476,0.552,0.6521,0.3902,3.5295,0.399
C12orf45,A_23_P128532,0.552,0.6056,0.3672,5.1752,0.367
RAB8B,A_23_P317465,0.552,0.6449,0.3893,4.0362,0.389
BTBD7,A_24_P230808,0.552,0.6425,0.3646,5.3086,0.364
UQCR,A_23_P56314,0.552,0.6479,0.405,4.9011,0.405
ATP6AP1L,A_24_P807031,0.552,0.5499,0.3438,5.9766,0.341
FAM100B,A_24_P194714,0.5519,0.6382,0.3417,5.2648,0.34
DCP1A,A_23_P166826,0.5519,0.5644,0.3444,4.9235,0.344
RPP38,A_23_P150080,0.5519,0.6038,0.3735,4.7837,0.373
ZC3H10,A_23_P139455,0.5518,0.686,0.4113,5.2488,0.411
C5orf39,A_23_P431591,0.5518,0.6376,0.3726,6.044,0.371
EPS15L1,CUST_5500_PI416261804,0.5517,0.6727,0.3847,7.4711,0.392
FAM161B,CUST_5706_PI416261804,0.5517,0.6485,0.3545,7.199,0.358
INPP4A,A_23_P393531,0.5517,0.6515,0.3893,6.2182,0.394
EZH1,A_23_P428219,0.5517,0.6225,0.3841,5.2337,0.384
hCG_25371,CUST_10097_PI416261804,0.5517,0.6249,0.3921,5.5925,0.391
IER5L,A_24_P383450,0.5516,0.6104,0.3793,5.8329,0.384
TUBB,A_23_P81912,0.5516,0.6473,0.4057,7.5526,0.405
CEP120,A_24_P226210,0.5515,0.6951,0.393,4.6305,0.402
KDM6A,A_23_P217304,0.5515,0.6152,0.3348,5.7081,0.333
NPIP,A_24_P110564,0.5515,0.513,0.2745,5.5545,0.274
TNFSF13B,A_23_P14174,0.5515,0.6352,0.3934,5.2484,0.394
SLC34A3,A_23_P113682,0.5514,0.6177,0.342,5.7609,0.352
ARAP1,A_23_P105184,0.5514,0.6739,0.3448,5.5637,0.347
BCAN,A_23_P160607,0.5514,0.605,0.3421,6.4309,0.34
DYNC2LI1,A_23_P502174,0.5514,0.5632,0.2788,5.4928,0.276
USH2A,CUST_12106_PI416261804,0.5514,0.5699,0.3175,7.9628,0.319
INTS4,A_23_P203737,0.5512,0.663,0.3941,4.0155,0.396
LSP1,CUST_12008_PI416261804,0.5511,0.6267,0.3746,6.1359,0.379
OBFC2A,A_23_P329198,0.5511,0.631,0.3923,6.67,0.393
NR2C2AP,A_32_P144710,0.551,0.6564,0.4085,3.9176,0.409
COPA,A_24_P28367,0.551,0.6576,0.3887,4.8166,0.387
EIF2C3,A_23_P97021,0.5509,0.654,0.3813,6.0765,0.388
SHARPIN,A_23_P94942,0.5508,0.6594,0.3895,3.8322,0.393
WAC,A_23_P201996,0.5508,0.6757,0.3961,3.3822,0.394
MBOAT7,CUST_17038_PI416261804,0.5508,0.6721,0.4019,10.2196,0.408
ZNF682,A_24_P944588,0.5508,0.6092,0.3886,7.2361,0.392
IARS2,A_23_P74843,0.5507,0.6528,0.384,3.8741,0.385
NBPF14,A_23_P359430,0.5506,0.5983,0.3115,6.1113,0.31
TLR6,A_24_P17677,0.5506,0.6739,0.3951,8.518,0.396
THSD1,CUST_9753_PI416261804,0.5506,0.6237,0.3679,8.0177,0.367
BAHD1,A_23_P117928,0.5506,0.6038,0.3657,5.2745,0.362
RPS15,A_23_P209152,0.5505,0.5953,0.3416,4.4195,0.34
BCKDHA,A_23_P67188,0.5505,0.6346,0.3756,4.0823,0.375
ZDHHC11,A_23_P256008,0.5505,0.5681,0.3418,8.6981,0.339
CSNK1G1,A_23_P252636,0.5504,0.7066,0.4412,6.0793,0.442
CLPTM1L,A_23_P110504,0.5504,0.5275,0.2458,4.0127,0.245
EPC1,A_23_P46725,0.5504,0.5656,0.3173,5.3719,0.314
SLC29A4,CUST_6559_PI416261804,0.5504,0.5414,0.3189,8.313,0.322
LOC100128511,A_32_P103614,0.5504,0.6201,0.3785,6.305,0.378
SHMT1,A_23_P502654,0.5503,0.5814,0.2933,8.2199,0.292
PDCD2,A_23_P145146,0.5503,0.6655,0.4091,4.1122,0.41
RAD54L2,A_23_P18205,0.5503,0.614,0.3488,5.3356,0.35
SGCZ,CUST_8232_PI416261804,0.5503,0.657,0.385,8.8585,0.388
CENPM,CUST_498_PI416379584,0.5503,0.6013,0.3536,8.0451,0.356
DBF4,A_23_P254612,0.5502,0.6642,0.3934,6.2241,0.396
AI918632,A_32_P181183,0.5502,0.6292,0.3797,5.368,0.389
TAS2R45,CUST_12595_PI416261804,0.5502,0.5923,0.3642,5.3593,0.365
PODXL2,A_23_P121037,0.5502,0.5675,0.3348,6.6647,0.334
PLEKHH2,A_23_P384748,0.55,0.6279,0.3755,8.3327,0.375
KLHL12,A_23_P161041,0.55,0.5687,0.3584,4.6043,0.358
UBN1,A_23_P54900,0.55,0.631,0.4282,6.5107,0.431
AMBRA1,A_23_P353742,0.55,0.565,0.3931,5.4575,0.394
GALNT3,CUST_12090_PI416261804,0.5499,0.5457,0.311,9.2477,0.311
PAAF1,CUST_5641_PI416261804,0.5498,0.6655,0.3687,8.1155,0.371
LOC100133920,A_24_P392496,0.5498,0.6304,0.3479,7.147,0.346
FAM120AOS,A_24_P832156,0.5498,0.6364,0.3481,4.0407,0.347
CAPN14,A_32_P167076,0.5498,0.6467,0.357,6.8674,0.362
DDEF1IT1,A_23_P146325,0.5498,0.6576,0.3939,6.3341,0.39
EIF2A,A_23_P44932,0.5498,0.6031,0.3755,3.1771,0.375
LOC646808,CUST_3468_PI416261804,0.5498,0.5481,0.2973,7.0367,0.295
LYSMD2,A_32_P120895,0.5497,0.5959,0.3315,6.1919,0.335
CYTH3,A_23_P111593,0.5497,0.6261,0.3907,6.2434,0.386
HPS4,A_23_P109442,0.5495,0.5892,0.2988,4.8662,0.297
IL1F8,CUST_5677_PI416261804,0.5495,0.6201,0.3298,7.6569,0.341
TAX1BP1,A_24_P95029,0.5495,0.634,0.3906,3.8331,0.391
TMBIM6,A_24_P355876,0.5495,0.5384,0.2842,5.4596,0.285
LRIG1,A_23_P109636,0.5494,0.6056,0.3586,8.0043,0.36
C9orf9,A_24_P86755,0.5494,0.5826,0.2992,4.5007,0.299
EFTUD2,A_23_P55190,0.5493,0.5844,0.3628,4.3655,0.361
DNAJC17,A_23_P140698,0.5492,0.6328,0.3476,5.1104,0.349
LASP1,A_23_P89187,0.5492,0.6649,0.3857,5.0114,0.386
SREBF2,A_23_P419602,0.5492,0.6189,0.3859,4.9167,0.385
CROCCL2,A_24_P392723,0.5491,0.585,0.2883,8.2298,0.294
LOC653506,CUST_75_PI416261804,0.5491,0.6177,0.3211,9.7068,0.321
RDBP,A_24_P849628,0.5491,0.6576,0.3684,3.9785,0.371
PCSK1N,A_23_P22487,0.5491,0.5287,0.3177,5.804,0.316
LOC285074,A_24_P829541,0.5491,0.5227,0.3161,4.6171,0.315
SQSTM1,A_23_P81399,0.549,0.6624,0.3851,6.281,0.387
ZNF33A,A_24_P212129,0.549,0.6642,0.3899,4.5716,0.396
LOC728875,A_32_P74120,0.549,0.6183,0.3826,4.5387,0.382
ZNF721,A_23_P335039,0.549,0.6038,0.3929,4.1853,0.394
TMSB15A,A_23_P137173,0.5489,0.6031,0.3264,9.2378,0.325
SNRNP25,A_23_P152284,0.5489,0.6388,0.4071,8.1502,0.413
KLHDC10,A_24_P342127,0.5489,0.5898,0.3975,6.2886,0.397
TOP2B,A_23_P121095,0.5488,0.6304,0.3894,5.0803,0.395
HERC2P4,CUST_8823_PI416261804,0.5488,0.6316,0.3906,5.3858,0.387
C12orf23,A_23_P410613,0.5488,0.6733,0.3996,5.3869,0.4
RAB5B,CUST_7038_PI416261804,0.5488,0.6207,0.3817,4.2557,0.389
MTMR7,A_24_P383095,0.5488,0.614,0.3636,6.2424,0.366
LOC732160,CUST_2800_PI416261804,0.5487,0.66,0.3868,4.522,0.387
BX100171,A_32_P197720,0.5487,0.6062,0.3692,8.3088,0.369
AKAP11,A_23_P204929,0.5487,0.6171,0.4051,5.0096,0.409
C1orf77,A_24_P265539,0.5486,0.6352,0.3416,4.9574,0.345
ATMIN,A_23_P100133,0.5485,0.6836,0.388,5.6632,0.393
NARS,A_23_P101185,0.5485,0.6183,0.3949,4.8252,0.397
RXRA,A_23_P423197,0.5485,0.5547,0.3155,6.1471,0.315
RPL28,CUST_1156_PI416573500,0.5484,0.6267,0.3374,6.1796,0.337
CFC1,CUST_10991_PI416261804,0.5484,0.6485,0.3843,11.1013,0.385
PPP1R3F,A_24_P177604,0.5484,0.5644,0.3708,5.0079,0.371
CHP,A_23_P112801,0.5483,0.5759,0.3406,4.2912,0.34
ZNF593,A_23_P34741,0.5482,0.6528,0.3927,5.4307,0.393
KIAA2013,A_23_P352358,0.5482,0.6279,0.3809,4.8467,0.379
HLA-DPB2,A_24_P288836,0.5481,0.6818,0.3983,7.8053,0.408
SNAPIN,A_23_P161022,0.5481,0.6413,0.3628,4.8801,0.36
ZSCAN18,A_23_P55682,0.5481,0.6213,0.3672,4.9276,0.369
TCEA1,A_23_P132444,0.548,0.6177,0.3496,4.5094,0.349
ANP32D,A_23_P87580,0.548,0.6104,0.3818,5.0857,0.385
MLXIPL,A_24_P200831,0.5479,0.6352,0.3242,11.0101,0.337
NKIRAS1,CUST_5628_PI416261804,0.5479,0.6146,0.3386,5.5905,0.347
SALL3,A_23_P393670,0.5479,0.5808,0.3569,9.6712,0.355
WDR19,A_24_P394368,0.5478,0.5402,0.2963,4.1239,0.302
C21orf59,A_23_P91491,0.5478,0.5396,0.265,3.8201,0.271
RALGDS,A_23_P135184,0.5477,0.5862,0.3296,7.3341,0.326
ZNF789,CUST_605_PI416573500,0.5477,0.6134,0.3623,6.9915,0.364
TXK,A_23_P302018,0.5476,0.6461,0.3828,7.6962,0.386
AHCTF1,A_23_P63584,0.5475,0.5747,0.3326,4.8484,0.329
MAT1A,A_23_P23996,0.5475,0.3702,0.1735,8.2626,0.176
OR2W5,CUST_752_PI416573500,0.5474,0.6909,0.4015,14.0598,0.406
RCBTB2,A_23_P14105,0.5474,0.6503,0.35,5.2461,0.349
ELOVL2,CUST_11087_PI416261804,0.5474,0.6521,0.4048,7.0032,0.409
LOC645676,A_24_P272225,0.5473,0.6576,0.3987,5.9066,0.402
C14orf174,CUST_145_PI416261804,0.5473,0.6721,0.3747,7.0423,0.374
AQP4,A_23_P107565,0.5473,0.6122,0.3431,10.3217,0.344
HLA-DOB,A_23_P30736,0.5472,0.6449,0.3745,8.4576,0.377
UBXN8,A_23_P157465,0.5472,0.6455,0.4119,4.805,0.412
EFNB1,A_24_P365807,0.5472,0.6267,0.3504,5.8736,0.349
NUCB1,A_23_P78771,0.5471,0.6588,0.3909,5.3826,0.39
KIAA1609,A_24_P213924,0.5471,0.5511,0.3244,5.7015,0.321
TAF6,A_23_P122876,0.5471,0.5874,0.3901,4.7937,0.396
FBXO10,A_32_P57453,0.547,0.6733,0.3714,7.479,0.373
ACSF2,A_23_P4190,0.547,0.5269,0.2591,7.5235,0.259
PHF3,A_23_P70371,0.5469,0.6322,0.3361,5.602,0.335
GCNT1,CUST_12870_PI416261804,0.5469,0.5723,0.2967,7.6454,0.3
C15orf41,A_23_P77201,0.5469,0.6382,0.3556,6.1045,0.36
NEU4,A_23_P218626,0.5469,0.6679,0.3921,10.1781,0.392
GMFB,A_24_P172768,0.5468,0.6267,0.379,4.8291,0.387
FAM113B,A_23_P36888,0.5468,0.6509,0.3903,7.8215,0.391
YIPF1,A_23_P200239,0.5468,0.5892,0.3521,5.1628,0.351
ZFR,A_23_P41818,0.5468,0.631,0.3834,3.3669,0.385
ZNF683,A_23_P318380,0.5467,0.6092,0.385,7.8633,0.384
NAT12,A_24_P66685,0.5467,0.6098,0.333,5.1104,0.337
C1QTNF5,A_23_P259292,0.5467,0.6782,0.3799,13.7359,0.385
UBE2NL,A_23_P350234,0.5466,0.6292,0.3372,5.7662,0.344
EDN3,CUST_12401_PI416261804,0.5466,0.6485,0.3952,8.4277,0.396
COX7B,A_23_P159650,0.5466,0.6358,0.3945,6.1938,0.394
FOLR1,A_23_P53176,0.5466,0.5178,0.2673,7.4391,0.274
STRC,CUST_12347_PI416261804,0.5465,0.611,0.305,7.1272,0.305
MUL1,A_23_P200598,0.5465,0.6382,0.3896,3.9931,0.393
FLII,A_23_P4425,0.5465,0.6842,0.3756,6.2969,0.375
DNAL4,A_23_P17880,0.5465,0.6685,0.3784,6.6378,0.386
CIRBP,A_23_P413456,0.5464,0.6419,0.3559,9.4666,0.355
FBXL21,CUST_13917_PI416261804,0.5464,0.5771,0.3415,8.9744,0.341
HDDC2,A_24_P55250,0.5464,0.6352,0.3677,5.754,0.366
BCOR,A_23_P159741,0.5463,0.6812,0.3778,6.2584,0.377
PLEKHN1,CUST_6324_PI416261804,0.5463,0.6158,0.323,8.2679,0.334
ADD3,A_24_P90097,0.5463,0.6225,0.3482,6.3405,0.348
CCNK,A_24_P348925,0.5463,0.6068,0.3687,4.7848,0.379
LLPH,CUST_2699_PI416261804,0.5462,0.6479,0.371,3.5257,0.38
C5orf25,A_24_P392060,0.5462,0.5832,0.3054,4.2795,0.303
ZDHHC8P,A_23_P356731,0.5462,0.582,0.3438,8.2482,0.344
HACE1,A_23_P250002,0.5462,0.6425,0.3807,5.6502,0.387
PPP1R13L,A_23_P119095,0.5462,0.6521,0.3762,6.0473,0.376
TMEM177,CUST_33_PI416383280,0.5462,0.6237,0.399,7.3904,0.406
ALMS1,A_23_P312174,0.5462,0.5783,0.3274,5.8477,0.329
TAF12,A_23_P63178,0.5461,0.66,0.3582,4.3979,0.356
ZNF26,A_23_P128060,0.5461,0.6346,0.403,4.5792,0.404
RALBP1,A_23_P376599,0.5459,0.6455,0.3928,4.1494,0.399
B4GALT5,A_24_P239731,0.5458,0.6473,0.3675,4.2064,0.366
CLOCK,A_23_P419038,0.5458,0.6521,0.3896,5.0611,0.398
C17orf88,A_24_P22562,0.5458,0.6279,0.3565,5.6897,0.363
PPA2,CUST_7732_PI416261804,0.5457,0.6642,0.3928,7.8646,0.398
ESCO1,A_32_P223319,0.5457,0.6721,0.4008,3.7379,0.404
ARSF,A_23_P304304,0.5457,0.6134,0.3397,9.8,0.341
POLR2F,A_23_P80321,0.5457,0.6158,0.3594,4.921,0.359
ALDH4A1,A_23_P170337,0.5457,0.6098,0.3417,7.8609,0.341
PER1,A_23_P89589,0.5456,0.6267,0.3762,9.5884,0.383
LOC440957,A_23_P370924,0.5456,0.6304,0.3904,4.4783,0.39
MLF1IP,A_23_P254733,0.5455,0.5923,0.3997,8.4034,0.4
H1FNT,A_32_P202859,0.5454,0.6425,0.3723,6.4537,0.379
LOC285944,A_24_P829209,0.5454,0.6116,0.3195,8.939,0.321
SH2D3C,A_23_P71928,0.5454,0.6588,0.3951,7.9578,0.402
BPGM,CUST_16490_PI416261804,0.5454,0.6231,0.3793,3.7676,0.383
SLC25A15,A_23_P128650,0.5453,0.686,0.3893,5.6828,0.391
FXC1,A_23_P127851,0.5453,0.657,0.3713,4.2802,0.37
UBXN1,A_23_P98605,0.5453,0.6207,0.3401,3.6078,0.339
RPS7,A_23_P141549,0.5453,0.614,0.3562,4.4994,0.356
C5orf24,A_24_P337504,0.5453,0.6195,0.3728,3.7519,0.374
CEBPA,A_23_P375494,0.5453,0.6298,0.3919,7.9273,0.392
ERLIN1,CUST_106_PI417507815,0.5452,0.6201,0.3483,6.1898,0.346
CCNYL1,A_23_P90634,0.5452,0.6515,0.384,6.9783,0.394
CST6,CUST_15721_PI416261804,0.5452,0.3109,0.1446,9.5914,0.144
ATP7B,A_23_P205228,0.5451,0.5469,0.3143,5.6796,0.32
NARF,CUST_7117_PI416261804,0.5451,0.6503,0.3692,7.5266,0.381
NACA,A_23_P162228,0.5451,0.6152,0.3496,4.4227,0.349
SSNA1,A_23_P159476,0.5451,0.6515,0.3771,4.4893,0.375
FRAT2,A_23_P12784,0.5451,0.6763,0.4113,3.8818,0.412
OGDH,CUST_7702_PI416261804,0.5451,0.6757,0.3942,7.0566,0.403
GPD1L,A_23_P318284,0.545,0.631,0.3706,3.8502,0.375
RBL2,A_24_P416159,0.5449,0.66,0.3674,4.9265,0.368
LOC220729,A_32_P227845,0.5449,0.6207,0.3863,5.9917,0.383
C6orf174,CUST_558_PI416573500,0.5449,0.6056,0.3595,4.9562,0.357
PIGO,A_23_P60240,0.5448,0.6782,0.3825,7.7593,0.385
CCNDBP1,A_23_P26243,0.5448,0.5741,0.3409,5.9445,0.34
CEP110,A_24_P109554,0.5448,0.5541,0.3172,5.0238,0.315
TDO2,A_23_P80974,0.5447,0.6358,0.2666,7.5505,0.282
LOC100134181,CUST_3662_PI416261804,0.5446,0.6152,0.3571,7.0235,0.354
FAM27A,A_24_P342096,0.5446,0.5263,0.2807,6.0304,0.28
FAM96A,CUST_349_PI416261804,0.5445,0.6249,0.3475,9.0215,0.344
RB1,A_23_P204850,0.5445,0.6606,0.3638,3.9212,0.363
PHACTR4,A_32_P88626,0.5445,0.6346,0.3396,6.3462,0.338
C12orf62,A_23_P151280,0.5445,0.6407,0.3885,5.2535,0.387
PCBP2,A_23_P204052,0.5445,0.6521,0.3927,3.6369,0.392
MDM4,A_23_P103503,0.5443,0.6261,0.3596,5.0731,0.362
ZHX2,A_23_P168951,0.5442,0.634,0.3492,5.98,0.353
PIGL,A_24_P253755,0.544,0.6267,0.3404,6.0431,0.346
RAB3GAP1,A_23_P50942,0.544,0.6673,0.3794,4.2171,0.385
CCDC91,A_24_P372959,0.544,0.6195,0.3582,3.5208,0.363
LOC100134173,CUST_4093_PI416261804,0.544,0.6231,0.351,5.8024,0.358
HMGN3,A_24_P132099,0.544,0.5959,0.3556,3.7432,0.359
RAB32,A_23_P42375,0.5439,0.6183,0.3448,9.1305,0.342
ITGB5,A_23_P166633,0.5439,0.6031,0.3462,7.5681,0.344
ALG5,A_23_P151436,0.5438,0.6467,0.3522,4.0668,0.353
UBQLN1,A_23_P250904,0.5438,0.6044,0.3618,3.3692,0.361
LRRC8D,CUST_12768_PI416261804,0.5437,0.6467,0.3662,6.2227,0.364
USP11,A_23_P171366,0.5437,0.6552,0.3833,4.1438,0.381
CLN5,A_23_P117286,0.5436,0.6661,0.3486,6.6068,0.347
EIF4B,A_23_P60286,0.5436,0.6515,0.3871,3.6523,0.386
CMKLR1,A_23_P105461,0.5436,0.6564,0.3881,8.0276,0.396
FAM18A,CUST_78_PI416573500,0.5435,0.5681,0.3017,7.6839,0.3
ALG13,A_23_P11279,0.5435,0.6564,0.3884,3.7959,0.388
CTHRC1,CUST_6073_PI416261804,0.5434,0.6576,0.3948,7.6095,0.394
FGD6,A_23_P73220,0.5434,0.6298,0.3972,6.5254,0.395
CIRH1A,A_23_P54626,0.5433,0.677,0.3668,3.6473,0.37
MED13,A_24_P17077,0.5432,0.6292,0.3801,4.6415,0.38
SLC39A14,A_23_P59950,0.5432,0.6763,0.4173,6.7359,0.424
NKAPL,CUST_426_PI416261804,0.5432,0.6667,0.3966,6.9647,0.397
WDFY1,A_23_P502797,0.5431,0.6062,0.3288,6.084,0.329
ZNF615,A_24_P190345,0.5431,0.6249,0.3524,3.4488,0.358
TMEM209,A_23_P122805,0.5431,0.6727,0.3792,5.9593,0.381
KIAA1432,A_24_P49447,0.5431,0.5983,0.4082,4.3624,0.408
STK31,CUST_7925_PI416261804,0.543,0.6062,0.3239,8.4806,0.323
KIAA0141,A_24_P63563,0.543,0.6298,0.3579,4.6125,0.357
